scientificName,remove,dubious,epipelagic,pelagic,lavae,benthic,marine birds
Ablennes hians,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acanthephyra pelagica,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acanthephyra quadrispinosa,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Acanthostracion quadricornis,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Achirus achirus,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Achirus lineatus,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Actinecta torpedo,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aegina citrea,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Ahliesaurus berryi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Allosergestes pectinatus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Allosergestes sargassi,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Alopias superciliosus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Animalia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Anolis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Argyropelecus aculeatus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Argyropelecus affinis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Argyropelecus hemigymnus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Aristostomias polydactylus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Astronesthes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Astronesthes haplophos,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Astronesthes niger,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Astronesthes richardsoni,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Astronesthidae,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Balistes capriscus,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bathophilus longipinnis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Bathytoma visagei,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bolinichthys indicus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Bolinichthys pyrsobolus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Bothidae,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Botrynema brucei,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Bregmacerotidae,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Brevoortia tyrannus,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Canthidermis sufflamen,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Carcharhinus plumbeus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Catathyridium grandirivi,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Centrobranchus nigroocellatus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Ceratocymba sagittata,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
