"scientificName","longR","latR","depthbinded2","datebinded2","kingdom","phylum","class","order","family","genus","infraspecificEpithet","scientificNameWithAuthor","taxonRank","basisOfRecord","dynamicProperties","institutionCode","collectionCode","bibliographicCitation","occurrenceRemarks","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","locality","recordedBy","identifiedBy","samplingProtocol","db","Noccurrences","individualCount","GEBCO_depth","habitat"
"Acanthephyra pelagica",-39.17,-33.22,810,1971-04-08,"Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae/Oplophoridae","Acanthephyra","","Acanthephyra pelagica (Risso, 1816)","species","Unknown/PreservedSpecimen","","USNM","Invertebrate Zoology: Crustacea/Invertebrate Zoology","","",NA,NA,"","","","Judkins, D.","","OBIS/GBIF",1,7,-4578,"pelagic"
"Acanthephyra quadrispinosa",-39.17,-33.22,810,1971-04-08,"Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae/Oplophoridae","Acanthephyra","","Acanthephyra quadrispinosa Kemp, 1939","species","Unknown/PreservedSpecimen","","USNM","Invertebrate Zoology: Crustacea/Invertebrate Zoology","","",NA,NA,"","","","Judkins, D.","","OBIS/GBIF",1,1,-4578,"pelagic"
"Acanthephyra quadrispinosa",-35.13,-32.98,350,1971-04-10,"Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae/Oplophoridae","Acanthephyra","","Acanthephyra quadrispinosa Kemp, 1939","species","Unknown/PreservedSpecimen","","USNM","Invertebrate Zoology: Crustacea/Invertebrate Zoology","","",NA,NA,"","","","Judkins, D.","","OBIS/GBIF",1,1,-3649,"pelagic"
"Acanthephyra quadrispinosa",-30.58,-32.97,410,1971-04-11,"Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae/Oplophoridae","Acanthephyra","","Acanthephyra quadrispinosa Kemp, 1939","species","Unknown/PreservedSpecimen","","USNM","Invertebrate Zoology: Crustacea/Invertebrate Zoology","","",NA,NA,"","","","Judkins, D.","","OBIS/GBIF",1,2,-3557,"pelagic"
"Aegina citrea",-30.2625,-31.2708,210,1931-04-28,"Animalia","Cnidaria","Hydrozoa","Narcomedusae","Aeginidae","Aegina","","Aegina citrea Eschscholtz, 1829","species","HumanObservation","","NIWA","Discovery Reports","Kramp, P.L., 1957. Hydromedusae from the Discovery collections. Discovery Rep. 29 : 1-128, pls 1-7, tab. 1., available online at https://archive.org/stream/discoveryreports29inst#page/n15/mode/2up","",0,420,"Stn 677","","","","Young-fish trawl. A bag of stramin, with 10-12 meshes to the linear inch, attached to a circular frame 2 m. in diameter. Oblique tow","OBIS/GBIF",1,11,-3854,"pelagic"
"Allosergestes pectinatus",-39.17,-33.22,810,1971-04-08,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,8,-4578,"pelagic"
"Allosergestes pectinatus",-39.07,-33.25,87.5,1971-04-09,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,74,-4586,"pelagic"
"Allosergestes pectinatus",-39.02,-33.25,185,1971-04-09,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,27,-4437,"pelagic"
"Allosergestes pectinatus",-38.43,-27.92,62.5,1967-03-12,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,7,-4457,"pelagic"
"Allosergestes pectinatus",-38.3,-27.82,130,1967-03-12,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,26,-4579,"pelagic"
"Allosergestes pectinatus",-35.25,-32.98,165,1971-04-09,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,7,-2761,"pelagic"
"Allosergestes pectinatus",-35.2,-32.98,72.5,1971-04-09,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,3,-2619,"pelagic"
"Allosergestes pectinatus",-35.13,-32.98,350,1971-04-10,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,2,-3649,"pelagic"
"Allosergestes pectinatus",-30.58,-32.97,410,1971-04-11,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,21,-3557,"pelagic"
"Allosergestes pectinatus",-30.43,-32.95,100,1971-04-12,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,27,-3561,"pelagic"
"Allosergestes pectinatus",-30.38,-32.93,160,1971-04-12,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes pectinatus (Sund, 1920)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,88,-3571,"pelagic"
"Allosergestes sargassi",-39.166999816895,-33.22,810,1971-04-08,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes sargassi (Ortmann, 1893)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,3,-4578,"pelagic"
"Allosergestes sargassi",-39.067001342773,-33.25,87.5,1971-04-09,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes sargassi (Ortmann, 1893)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,3,-4586,"pelagic"
"Allosergestes sargassi",-39.016998291016,-33.25,185,1971-04-09,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes sargassi (Ortmann, 1893)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,2,-4437,"pelagic"
"Allosergestes sargassi",-38.432998657227,-27.92,62.5,1967-03-12,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Allosergestes","","Allosergestes sargassi (Ortmann, 1893)","species","Unknown","","USNM","Invertebrate Zoology: Crustacea","","",NA,NA,"","","","","","OBIS",1,1,-4463,"pelagic"
